series_id,model,regime,mase,mae
mean_step_005,lightgbm,mean_step,0.870446546721272,6.348232898340486
mean_step_005,seasonal_naive,mean_step,1.163446359177121,8.485102825214259
mean_step_006,chronos_bolt_small,mean_step,0.6186448800140589,4.176648715099846
mean_step_006,ets,mean_step,0.6857589299347798,4.629754882179343
mean_step_006,lightgbm,mean_step,0.6223250981951387,4.201494921758736
mean_step_006,seasonal_naive,mean_step,0.7929851345619341,5.35366969057614
mean_step_007,chronos_bolt_small,mean_step,0.9139163361742124,3.600347076719584
mean_step_007,ets,mean_step,0.9736467647385533,3.8356533792341714
mean_step_007,lightgbm,mean_step,0.9041856835351607,3.5620134509850447
mean_step_007,seasonal_naive,mean_step,1.2901321717050185,5.082438522134731
mean_step_008,chronos_bolt_small,mean_step,1.0166473793919124,4.213694805244187
mean_step_008,ets,mean_step,1.452292190469353,6.019310316166538
mean_step_008,lightgbm,mean_step,0.6345233844928658,2.6299068322418364
mean_step_008,seasonal_naive,mean_step,1.0127537120687424,4.197556736032024
mean_step_009,chronos_bolt_small,mean_step,0.6389800499933082,3.5895758538065192
mean_step_009,ets,mean_step,0.5578928043401715,3.134054873063498
mean_step_009,lightgbm,mean_step,0.5416107704712397,3.0425878614918695
mean_step_009,seasonal_naive,mean_step,0.576491825497651,3.2385379429997565
mean_step_010,chronos_bolt_small,mean_step,0.9428542619892056,5.06125515269991
mean_step_010,ets,mean_step,1.0491997236995474,5.632119110945325
mean_step_010,lightgbm,mean_step,0.8363038461328296,4.489290997669579
mean_step_010,seasonal_naive,mean_step,1.0353547416002702,5.5577990491775955
promo_001,chronos_bolt_small,promo_driven,0.5963119531785493,17.86313936217416
promo_001,ets,promo_driven,0.6885977370457976,20.627655165657536
promo_001,lightgbm,promo_driven,0.32264261330981225,9.665092130064258
promo_001,seasonal_naive,promo_driven,0.7229041092643153,21.655337915740713
promo_002,chronos_bolt_small,promo_driven,0.8888710623754706,26.643449966357316
promo_002,ets,promo_driven,1.7958697281631146,53.83026546115411
promo_002,lightgbm,promo_driven,0.22786857623289647,6.8302426153251234
promo_002,seasonal_naive,promo_driven,0.8718934191875455,26.13455390035728
promo_003,chronos_bolt_small,promo_driven,0.7518975088418195,23.453356785546788
promo_003,ets,promo_driven,1.7469951857960127,54.49266810076127
promo_003,lightgbm,promo_driven,0.3044630157125389,9.496879097935587
promo_003,seasonal_naive,promo_driven,0.8028378524728377,25.042299480405436
promo_004,chronos_bolt_small,promo_driven,0.7159085687572572,18.62091071483139
promo_004,ets,promo_driven,1.5328738311615004,39.87032421850794
promo_004,lightgbm,promo_driven,0.44958448214082236,11.693773291818973
promo_004,seasonal_naive,promo_driven,0.7973891257819147,20.740234667029153
promo_005,chronos_bolt_small,promo_driven,0.8588684814925853,24.92588514365854
promo_005,ets,promo_driven,1.2259472896282317,35.579162574865784
promo_005,lightgbm,promo_driven,0.36185136930697714,10.501567894011894
promo_005,seasonal_naive,promo_driven,0.9779860786281994,28.38288887446379
promo_006,chronos_bolt_small,promo_driven,0.6592186540919884,24.825702692538304
promo_006,ets,promo_driven,1.4517682634006401,54.67255372997635
promo_006,lightgbm,promo_driven,0.1914668931360456,7.210506157485325
promo_006,seasonal_naive,promo_driven,0.6880473374451219,25.911370274151295
promo_007,chronos_bolt_small,promo_driven,0.6420839682241273,25.087613296552725
promo_007,ets,promo_driven,1.1531840224721703,45.05740097445695
promo_007,lightgbm,promo_driven,0.25399525814637364,9.924145642754988
promo_007,seasonal_naive,promo_driven,0.5914796411782031,23.110392479824153
promo_008,chronos_bolt_small,promo_driven,0.49935734771237883,9.88983826689294
promo_008,ets,promo_driven,0.5062236205991826,10.025825708867968
promo_008,lightgbm,promo_driven,0.23991363577798736,4.751521263752772
promo_008,seasonal_naive,promo_driven,0.5158256549135581,10.215995267476382
promo_009,chronos_bolt_small,promo_driven,0.568740304096644,18.666601288081644
promo_009,ets,promo_driven,1.632271828058296,53.57272412147334
promo_009,lightgbm,promo_driven,0.2049868570924463,6.727864902627786
promo_009,seasonal_naive,promo_driven,0.4038162309534001,13.253635310470502
promo_010,chronos_bolt_small,promo_driven,0.7705227914556065,25.879224197862147
promo_010,ets,promo_driven,1.258312148710072,42.262399721939666
promo_010,lightgbm,promo_driven,0.18758415036927265,6.300309786036465
promo_010,seasonal_naive,promo_driven,0.7863518654355731,26.41086863319187
smooth_001,chronos_bolt_small,smooth_seasonal,0.8339201076263824,3.8637276602137876
smooth_001,ets,smooth_seasonal,1.0300197052275142,4.77229843633392
smooth_001,lightgbm,smooth_seasonal,0.9439114666920938,4.373340814423875
smooth_001,seasonal_naive,smooth_seasonal,1.5345709549367803,7.109990742430139
smooth_002,chronos_bolt_small,smooth_seasonal,0.6605501945113054,4.348302286527618
smooth_002,ets,smooth_seasonal,0.7260661918268093,4.779584213772993
smooth_002,lightgbm,smooth_seasonal,0.7428812394126336,4.890275135481986
smooth_002,seasonal_naive,smooth_seasonal,1.089828787174787,7.174178505392357
smooth_003,chronos_bolt_small,smooth_seasonal,0.593825924175268,3.4871248125767833
smooth_003,ets,smooth_seasonal,0.7705008435228885,4.524613190795938
smooth_003,lightgbm,smooth_seasonal,0.6454883546079483,3.7905021757156967
smooth_003,seasonal_naive,smooth_seasonal,1.0265819355511328,6.028398548910218
smooth_004,chronos_bolt_small,smooth_seasonal,0.6495775912436643,5.101833567539733
smooth_004,ets,smooth_seasonal,0.8778486668186334,6.894692575556098
smooth_004,lightgbm,smooth_seasonal,0.7366321505609668,5.785566933529248
smooth_004,seasonal_naive,smooth_seasonal,0.8917113616970967,7.003571273067965
smooth_005,chronos_bolt_small,smooth_seasonal,0.6660758127918274,3.0953195016753647
smooth_005,ets,smooth_seasonal,0.7094948194844758,3.297091875897774
smooth_005,lightgbm,smooth_seasonal,0.7795390209195444,3.622594136327408
smooth_005,seasonal_naive,smooth_seasonal,0.8518412014731985,3.9585894467461094
smooth_006,chronos_bolt_small,smooth_seasonal,0.6463663208220963,3.5952282557432054
smooth_006,ets,smooth_seasonal,0.764320667115658,4.25131565544399
smooth_006,lightgbm,smooth_seasonal,0.7629996960332617,4.243968130662051
smooth_006,seasonal_naive,smooth_seasonal,1.0765518955332356,5.988012786112174
smooth_007,chronos_bolt_small,smooth_seasonal,0.9303441162310998,4.3730686393524145
smooth_007,ets,smooth_seasonal,1.1318897271113462,5.320430776611952
smooth_007,lightgbm,smooth_seasonal,0.9307886684523204,4.3751582504363755
smooth_007,seasonal_naive,smooth_seasonal,1.3867227588702282,6.518269640762993
smooth_008,chronos_bolt_small,smooth_seasonal,0.6719041974843372,2.815966976300639
smooth_008,ets,smooth_seasonal,0.7552147993473342,3.165123752668893
smooth_008,lightgbm,smooth_seasonal,0.6002939000260258,2.515846462750236
smooth_008,seasonal_naive,smooth_seasonal,1.0504988685229597,4.402666531147545
smooth_009,chronos_bolt_small,smooth_seasonal,0.9953392338567709,7.681650939679808
smooth_009,ets,smooth_seasonal,0.9990402563046277,7.71021402811971
smooth_009,lightgbm,smooth_seasonal,1.0384522550344242,8.014380895836055
smooth_009,seasonal_naive,smooth_seasonal,1.6911438857100343,13.051607509191802
smooth_010,chronos_bolt_small,smooth_seasonal,0.5354461284168422,3.240992485574646
smooth_010,ets,smooth_seasonal,0.45487799332519496,2.7533230328495897
smooth_010,lightgbm,smooth_seasonal,0.4906962161058625,2.9701265257089298
smooth_010,seasonal_naive,smooth_seasonal,0.7314002538195392,4.427079776606623
